Frame number, frame time (s), total iterations, pixels, guessed pixels, precision
 671, 97.0910, 10156647922, 921600, 353333, 704 bit calcs
 672, 129.7988, 10182369933, 921600, 172867, 704 bit calcs
 673, 129.5038, 10198541579, 921600, 175519, 704 bit calcs
 674, 130.9421, 10216342407, 921600, 175593, 704 bit calcs
 675, 129.2572, 10232259990, 921600, 179821, 704 bit calcs
 676, 122.2863, 10240863430, 921600, 219842, 704 bit calcs
 677, 114.4533, 10245180978, 921600, 264620, 704 bit calcs
 678, 118.2233, 10261502254, 921600, 243932, 704 bit calcs
 679, 133.7902, 10299201573, 921600, 163849, 704 bit calcs
 680, 226.2762, 10385232871, 921600, 103985, 768 bit calcs
 681, 178.7912, 10515290933, 921600, 62950, 768 bit calcs
 682, 190.7373, 10646904857, 921600, 19822, 768 bit calcs
 683, 199.8572, 10882483879, 921600, 1721, 768 bit calcs
 684, 203.4132, 11090647098, 921600, 2449, 768 bit calcs
 685, 204.7144, 11196559692, 921600, 6774, 768 bit calcs
 686, 199.9514, 11231625976, 921600, 22890, 768 bit calcs
 687, 194.4931, 11277657936, 921600, 48374, 768 bit calcs
 688, 188.7635, 11326368415, 921600, 72629, 768 bit calcs
 689, 178.3200, 11351535363, 921600, 115297, 768 bit calcs
 690, 161.4430, 11340629868, 921600, 184686, 768 bit calcs
 691, 157.6694, 11321792061, 921600, 198595, 768 bit calcs
 692, 138.8030, 11318388136, 921600, 278945, 768 bit calcs
 693, 144.3427, 11325049980, 921600, 259312, 768 bit calcs
 694, 132.4848, 11327229510, 921600, 306585, 768 bit calcs
 695, 118.9297, 11333673401, 921600, 370769, 768 bit calcs
 696, 98.9846, 11328367155, 921600, 457982, 768 bit calcs
 697, 120.2277, 11336923204, 921600, 363424, 768 bit calcs
 698, 151.0651, 11363603278, 921600, 228409, 768 bit calcs
 699, 152.8875, 11390536328, 921600, 224306, 768 bit calcs
 700, 177.4051, 11455764350, 921600, 128384, 768 bit calcs
 701, 198.4729, 11561939671, 921600, 53703, 768 bit calcs
 702, 215.8147, 11777072807, 921600, 5681, 768 bit calcs
 703, 211.2920, 11819382919, 921600, 21597, 768 bit calcs
 704, 195.9166, 11744552481, 921600, 73928, 768 bit calcs
 705, 180.9460, 11738329778, 921600, 128572, 768 bit calcs
 706, 167.3968, 11703654154, 921600, 181790, 768 bit calcs
 707, 152.6132, 11676374449, 921600, 238654, 768 bit calcs
 708, 138.1071, 11685256626, 921600, 303337, 768 bit calcs
 709, 102.2312, 11666773342, 921600, 458269, 768 bit calcs
 710, 142.9343, 11687015738, 921600, 281703, 768 bit calcs
 711, 138.8056, 11692249656, 921600, 295765, 768 bit calcs
 712, 120.7638, 11694850825, 921600, 377298, 768 bit calcs
 713, 133.5206, 11702227598, 921600, 320873, 768 bit calcs
 714, 124.1197, 11714676302, 921600, 367726, 768 bit calcs
 715, 130.7150, 11721912541, 921600, 335299, 768 bit calcs
 716, 114.5143, 11716932917, 921600, 405382, 768 bit calcs
 717, 103.9780, 11720754365, 921600, 453335, 768 bit calcs
 718, 135.7898, 11731658969, 921600, 317801, 768 bit calcs
 719, 133.6481, 11735167975, 921600, 324809, 768 bit calcs
 720, 134.6821, 11743657765, 921600, 318893, 768 bit calcs
 721, 152.7778, 11765201640, 921600, 245526, 768 bit calcs
 722, 146.8928, 11767076181, 921600, 288920, 768 bit calcs
 723, 163.8360, 11804555560, 921600, 206388, 768 bit calcs
 724, 170.7736, 11871460492, 921600, 184683, 768 bit calcs
 725, 170.6627, 11848137313, 921600, 184142, 768 bit calcs
 726, 122.4460, 11803132428, 921600, 372741, 768 bit calcs
 727, 123.8379, 11804884476, 921600, 372497, 768 bit calcs
 728, 145.6258, 11816365580, 921600, 276931, 768 bit calcs
 729, 149.6323, 11823721910, 921600, 258181, 768 bit calcs
 730, 122.9965, 11819727250, 921600, 371598, 768 bit calcs
 731, 138.5905, 11838074099, 921600, 311527, 768 bit calcs
 732, 127.6300, 11839341845, 921600, 353060, 768 bit calcs
 733, 165.6580, 11872420360, 921600, 197831, 768 bit calcs
 734, 174.5592, 11927869689, 921600, 169516, 768 bit calcs
 735, 209.4696, 12079748731, 921600, 45751, 768 bit calcs
 736, 224.0537, 12274047286, 921600, 6943, 768 bit calcs
 737, 219.5119, 12276978067, 921600, 21814, 768 bit calcs
 738, 219.8215, 12365582358, 921600, 26419, 768 bit calcs
 739, 220.8460, 12484135236, 921600, 30689, 768 bit calcs
 740, 216.1540, 12522237380, 921600, 46883, 768 bit calcs
 741, 229.6540, 12724073794, 921600, 15988, 768 bit calcs
 742, 354.0955, 12960500774, 921600, 4388, 832 bit calcs
 743, 269.9667, 13174049287, 921600, 4768, 832 bit calcs
